day,time,open,high,low,close,volume
2017.01.13,01:00,139.477,139.531,139.383,139.512,3760
2017.01.13,02:00,139.516,139.883,139.349,139.819,8647
2017.01.13,03:00,139.818,139.928,139.789,139.877,8357
2017.01.13,04:00,139.874,139.954,139.720,139.917,7135
2017.01.13,05:00,139.918,139.998,139.803,139.897,5749
2017.01.13,06:00,139.897,139.934,139.732,139.842,5415
2017.01.13,07:00,139.843,139.982,139.778,139.789,4518
2017.01.13,08:00,139.791,139.872,139.481,139.523,8139
2017.01.13,09:00,139.531,139.637,139.449,139.561,10165
2017.01.13,10:00,139.561,139.967,139.557,139.846,11166
2017.01.13,11:00,139.852,139.956,139.613,139.943,8959
2017.01.13,12:00,139.939,140.208,139.856,140.198,8894
2017.01.13,13:00,140.200,140.279,139.692,139.721,8539
2017.01.13,14:00,139.719,139.750,139.186,139.351,8819
2017.01.13,15:00,139.344,139.656,139.136,139.637,14600
2017.01.13,16:00,139.635,140.082,139.508,139.925,16698
2017.01.13,17:00,139.927,140.121,139.691,140.098,15397
2017.01.13,18:00,140.095,140.581,140.005,140.308,12210
2017.01.13,19:00,140.310,140.323,139.934,140.068,8358
2017.01.13,20:00,140.063,140.072,139.643,139.727,6513
2017.01.13,21:00,139.727,139.728,139.346,139.501,7402
2017.01.13,22:00,139.497,139.682,139.454,139.634,5299
2017.01.13,23:00,139.632,139.709,139.489,139.622,2801
2017.01.16,00:00,137.177,137.882,137.071,137.833,2709
2017.01.16,01:00,137.832,137.917,137.293,137.503,6524
2017.01.16,02:00,137.499,137.887,137.495,137.765,6753
2017.01.16,03:00,137.765,137.820,137.528,137.573,6817
2017.01.16,04:00,137.574,137.581,137.006,137.213,8350
2017.01.16,05:00,137.213,137.341,137.122,137.295,6492
2017.01.16,06:00,137.296,137.569,137.287,137.310,6263
2017.01.16,07:00,137.309,137.400,137.053,137.159,7903
2017.01.16,08:00,137.159,137.221,136.824,136.947,8032
2017.01.16,09:00,136.946,137.423,136.463,137.374,10917
2017.01.16,10:00,137.369,137.767,137.014,137.492,13117
2017.01.16,11:00,137.492,138.149,137.453,137.824,11290
2017.01.16,12:00,137.823,137.840,137.494,137.780,8476
2017.01.16,13:00,137.780,137.860,137.547,137.592,9112
2017.01.16,14:00,137.592,137.772,137.408,137.685,7516
2017.01.16,15:00,137.685,137.743,137.447,137.633,6660
2017.01.16,16:00,137.632,137.784,137.552,137.638,7719
2017.01.16,17:00,137.638,137.727,137.345,137.647,7855
2017.01.16,18:00,137.645,137.708,137.411,137.411,6329
2017.01.16,19:00,137.411,137.763,137.396,137.710,3992
2017.01.16,20:00,137.708,137.766,137.506,137.641,3494
2017.01.16,21:00,137.640,137.716,137.417,137.471,5793
2017.01.16,22:00,137.475,137.525,137.410,137.457,4174
2017.01.16,23:00,137.457,137.582,137.392,137.490,6938
2017.01.17,00:00,137.493,137.630,137.094,137.121,2291
2017.01.17,01:00,137.121,137.492,137.120,137.447,3843
2017.01.17,02:00,137.449,137.500,137.166,137.429,8890
2017.01.17,03:00,137.431,137.681,137.424,137.560,7892
2017.01.17,04:00,137.561,137.625,137.438,137.587,6900
2017.01.17,05:00,137.586,137.732,137.545,137.663,6719
2017.01.17,06:00,137.663,137.701,137.394,137.536,8483
2017.01.17,07:00,137.535,137.561,137.232,137.337,10346
2017.01.17,08:00,137.337,137.662,137.235,137.299,10030
2017.01.17,09:00,137.298,137.634,137.188,137.312,11267
2017.01.17,10:00,137.312,137.382,137.115,137.226,12278
2017.01.17,11:00,137.225,137.831,137.061,137.544,12512
2017.01.17,12:00,137.543,137.622,137.166,137.508,10941
2017.01.17,13:00,137.507,138.514,137.191,138.047,15158
2017.01.17,14:00,138.046,140.053,137.919,139.856,19244
2017.01.17,15:00,139.856,139.902,139.356,139.502,16662
2017.01.17,16:00,139.506,140.051,139.366,139.943,17335
2017.01.17,17:00,139.942,140.142,139.595,139.965,15605
2017.01.17,18:00,139.964,140.037,139.457,139.880,12408
2017.01.17,19:00,139.880,139.956,139.678,139.840,8038
2017.01.17,20:00,139.840,140.090,139.828,139.977,5314
2017.01.17,21:00,139.977,140.113,139.586,139.644,8328
2017.01.17,22:00,139.646,139.884,139.588,139.648,6890
2017.01.17,23:00,139.651,139.880,139.615,139.798,4674
2017.01.18,00:00,139.796,139.898,139.662,139.886,2388
2017.01.18,01:00,139.888,139.958,139.711,139.849,3887
2017.01.18,02:00,139.849,139.992,139.485,139.563,8810
2017.01.18,03:00,139.560,139.778,139.514,139.618,10043
2017.01.18,04:00,139.619,139.739,139.361,139.455,7972
2017.01.18,05:00,139.455,139.594,139.364,139.532,7739
2017.01.18,06:00,139.533,139.542,139.415,139.504,6360
2017.01.18,07:00,139.502,139.830,139.463,139.765,8166
2017.01.18,08:00,139.761,139.983,139.674,139.866,7828
2017.01.18,09:00,139.862,139.971,139.633,139.693,10025
2017.01.18,10:00,139.693,139.806,139.444,139.513,11924
2017.01.18,11:00,139.512,139.805,139.369,139.523,10554
2017.01.18,12:00,139.523,139.629,139.320,139.560,10979
2017.01.18,13:00,139.562,139.666,139.152,139.233,8435
2017.01.18,14:00,139.232,139.350,139.137,139.281,8418
2017.01.18,15:00,139.279,139.550,139.260,139.387,12843
2017.01.18,16:00,139.389,139.649,139.282,139.520,12641
2017.01.18,17:00,139.520,139.926,139.513,139.810,13945
2017.01.18,18:00,139.808,139.855,139.558,139.571,11920
2017.01.18,19:00,139.570,139.668,139.502,139.604,8373
2017.01.18,20:00,139.602,139.777,139.474,139.675,8039
2017.01.18,21:00,139.676,139.767,139.515,139.597,6091
2017.01.18,22:00,139.599,140.249,139.588,140.217,12928
2017.01.18,23:00,140.217,140.681,140.215,140.485,6330
2017.01.19,00:00,140.508,140.550,140.375,140.473,2033
2017.01.19,01:00,140.474,140.776,140.400,140.637,4297
2017.01.19,02:00,140.630,140.783,140.516,140.692,8172
2017.01.19,03:00,140.692,140.789,140.571,140.720,8280
2017.01.19,04:00,140.720,140.886,140.675,140.811,7998
2017.01.19,05:00,140.816,140.851,140.630,140.721,8358
2017.01.19,06:00,140.722,140.722,140.513,140.575,5741
2017.01.19,07:00,140.574,140.829,140.559,140.654,6272
2017.01.19,08:00,140.654,140.804,140.586,140.795,5778
2017.01.19,09:00,140.795,141.038,140.713,141.015,10787
2017.01.19,10:00,141.014,141.429,141.012,141.125,12620
2017.01.19,11:00,141.125,141.296,140.881,140.991,11888
2017.01.19,12:00,140.990,141.446,140.976,141.428,9644
2017.01.19,13:00,141.427,141.581,141.172,141.202,8332
2017.01.19,14:00,141.202,141.468,141.131,141.172,8827
2017.01.19,15:00,141.169,141.567,141.162,141.359,15114
2017.01.19,16:00,141.359,142.081,141.260,142.047,17900
2017.01.19,17:00,142.049,142.050,141.744,141.871,16191
2017.01.19,18:00,141.891,142.071,141.784,142.021,13925
2017.01.19,19:00,142.024,142.176,141.904,141.969,10378
2017.01.19,20:00,141.970,141.998,141.817,141.833,8767
2017.01.19,21:00,141.837,141.844,141.478,141.617,9494
2017.01.19,22:00,141.614,141.665,141.480,141.545,8608
2017.01.19,23:00,141.544,141.765,141.544,141.756,3694
2017.01.20,00:00,141.759,141.972,141.664,141.897,2688
2017.01.20,01:00,141.896,141.941,141.793,141.803,4345
2017.01.20,02:00,141.801,142.018,141.688,141.925,6843
2017.01.20,03:00,141.925,141.942,141.600,141.804,9731
2017.01.20,04:00,141.806,141.858,141.564,141.763,6848
2017.01.20,05:00,141.763,141.807,141.663,141.718,6784
2017.01.20,06:00,141.720,141.792,141.682,141.714,4939
2017.01.20,07:00,141.714,141.851,141.671,141.792,6002
2017.01.20,08:00,141.790,141.833,141.633,141.689,6887
2017.01.20,09:00,141.688,141.763,141.541,141.554,8534
2017.01.20,10:00,141.552,141.954,141.391,141.878,11407
2017.01.20,11:00,141.877,142.072,141.249,141.465,13014
2017.01.20,12:00,141.467,141.801,141.317,141.516,11031
2017.01.20,13:00,141.510,141.708,141.399,141.698,9781
2017.01.20,14:00,141.694,141.732,141.433,141.482,8854
2017.01.20,15:00,141.482,141.505,141.170,141.291,11642
2017.01.20,16:00,141.290,141.773,141.285,141.740,12945
2017.01.20,17:00,141.741,141.775,141.521,141.746,14231
2017.01.20,18:00,141.747,142.034,141.747,141.810,12114
2017.01.20,19:00,141.811,142.060,141.469,141.726,18294
2017.01.20,20:00,141.727,141.885,141.628,141.798,10664
2017.01.20,21:00,141.796,141.796,141.393,141.482,12653
2017.01.20,22:00,141.479,141.688,141.412,141.508,10001
2017.01.20,23:00,141.513,141.836,141.505,141.802,3155
2017.01.23,00:00,141.383,141.659,141.378,141.593,1663
2017.01.23,01:00,141.590,141.603,140.897,140.950,6947
2017.01.23,02:00,140.951,141.195,140.901,141.071,7460
2017.01.23,03:00,141.072,141.179,140.884,140.992,8231
2017.01.23,04:00,140.994,141.187,140.905,141.134,7926
2017.01.23,05:00,141.133,141.276,141.094,141.190,6087
2017.01.23,06:00,141.187,141.252,141.098,141.211,4781
