day,time,close,open,high,low,volume
2006.03.07,0:00,204.55,205.76,205.86,203.97,20763
2006.03.08,0:00,204.88,204.56,205.09,203.76,18704
2006.03.09,0:00,205.13,204.89,205.48,203.68,21178
2006.03.10,0:00,205.4,205.14,205.93,204.75,21104
2006.03.13,0:00,205.69,205.2,206.17,204.88,17706
2006.03.14,0:00,205.31,205.7,206.06,204.63,20232
2006.03.15,0:00,205.13,205.29,205.65,204.7,18762
2006.03.16,0:00,205.26,205.15,205.81,205.01,19275
2006.03.17,0:00,203.44,205.25,205.42,203.21,18979
2006.03.20,0:00,204.36,203.66,204.41,202.75,16153
2006.03.21,0:00,204.91,204.37,204.98,203.54,17655
2006.03.22,0:00,204.43,204.92,205.2,203.84,17428
2006.03.23,0:00,204.43,204.44,204.69,203.51,18170
2006.03.24,0:00,204.76,204.41,205.69,204.23,17278
2006.03.27,0:00,203.9,204.88,204.98,203.35,15612
2006.03.28,0:00,205.53,203.89,205.78,203.13,19009
2006.03.29,0:00,204.21,205.54,205.66,204.02,17252
2006.03.30,0:00,204.9,204.2,205.14,203.89,19173
2006.03.31,0:00,204.36,204.92,205.3,204.11,18922
2006.04.03,0:00,204.63,204.49,205.26,204.07,18368
2006.04.04,0:00,206.25,204.65,206.34,204.4,19510
2006.04.05,0:00,205.87,206.23,206.3,205.19,20167
2006.04.06,0:00,206.39,205.88,206.83,205.57,19821
2006.04.07,0:00,206.21,206.41,206.59,205.09,18799
2006.04.10,0:00,206.21,205.93,206.84,205.7,15619
2006.04.11,0:00,206.83,206.19,207.32,206.07,17016
2006.04.12,0:00,207.24,206.78,207.43,206.16,18428
2006.04.13,0:00,207.7,207.25,207.96,207.08,16384
2006.04.14,0:00,207.71,207.72,207.93,207.53,5979
2006.04.17,0:00,208.37,207.79,208.64,207.54,13761
2006.04.18,0:00,208.75,208.35,209.26,208.26,17204
2006.04.19,0:00,210.19,208.77,210.78,208.14,22352
2006.04.20,0:00,209.03,210.2,210.48,208.78,16238
2006.04.21,0:00,207.87,209.02,209.72,207.7,17198
2006.04.24,0:00,204.95,206.79,207.09,204.42,21474
2006.04.25,0:00,205.27,204.96,205.53,204.13,20979
2006.04.26,0:00,204.67,205.28,205.85,204.54,19765
2006.04.27,0:00,205.49,204.68,205.82,203.79,18438
2006.04.28,0:00,207.45,205.42,207.5,205.32,19965
2006.05.01,0:00,207.03,207.27,207.67,206.15,16557
2006.05.02,0:00,208.48,207.04,208.8,206.79,20971
2006.05.03,0:00,209.18,208.51,209.61,207.86,18068
2006.05.04,0:00,210.42,209.19,210.64,209.04,18822
2006.05.05,0:00,208.99,210.41,211.1,208.6,16638
2006.05.08,0:00,207.47,208.45,208.9,206.86,18781
2006.05.09,0:00,207.34,207.46,207.63,206.62,19640
2006.05.10,0:00,205.9,207.33,207.5,205.37,21973
2006.05.11,0:00,208.39,205.91,208.44,205.81,23835
2006.05.12,0:00,208.46,208.41,208.97,207.15,23645
2006.05.15,0:00,207.61,207.94,208.36,206.88,22158
2006.05.16,0:00,207.17,207.62,208.05,206.93,21881
2006.05.17,0:00,208.88,207.15,209.16,206.42,23982
2006.05.18,0:00,209.77,208.89,209.95,208.16,22300
2006.05.19,0:00,209.79,209.79,210.18,209.06,22792
2006.05.22,0:00,210.49,209.83,211.12,209.34,22351
2006.05.23,0:00,210.49,210.48,210.71,209.11,22191
2006.05.24,0:00,211.04,210.51,211.2,210.07,23599
