day,close
2006.03.07,204.55
2006.03.08,204.88
2006.03.09,205.13
2006.03.10,205.4
2006.03.13,205.69
2006.03.14,205.31
2006.03.15,205.13
2006.03.16,205.26
2006.03.17,203.44
2006.03.20,204.36
2006.03.21,204.91
2006.03.22,204.43
2006.03.23,204.43
2006.03.24,204.76
2006.03.27,203.9
2006.03.28,205.53
2006.03.29,204.21
2006.03.30,204.9
2006.03.31,204.36
2006.04.03,204.63
2006.04.04,206.25
2006.04.05,205.87
2006.04.06,206.39
2006.04.07,206.21
2006.04.10,206.21
2006.04.11,206.83
2006.04.12,207.24
2006.04.13,207.7
2006.04.14,207.71
2006.04.17,208.37
2006.04.18,208.75
2006.04.19,210.19
2006.04.20,209.03
2006.04.21,207.87
2006.04.24,204.95
2006.04.25,205.27
2006.04.26,204.67
2006.04.27,205.49
2006.04.28,207.45
2006.05.01,207.03
2006.05.02,208.48
2006.05.03,209.18
2006.05.04,210.42
2006.05.05,208.99
2006.05.08,207.47
2006.05.09,207.34
2006.05.10,205.9
2006.05.11,208.39
2006.05.12,208.46
2006.05.15,207.61
2006.05.16,207.17
2006.05.17,208.88
2006.05.18,209.77
2006.05.19,209.79
2006.05.22,210.49
2006.05.23,210.49
2006.05.24,211.04
2006.05.25,209.35
2006.05.26,209.18
2006.05.29,209.12
2006.05.30,211.26
2006.05.31,210.57
2006.06.01,210.23
2006.06.02,210.17
2006.06.05,210.1
2006.06.06,210.76
2006.06.07,210.58
2006.06.08,210.41
2006.06.09,209.78
2006.06.12,210.69
2006.06.13,211.51
2006.06.14,211.96
2006.06.15,212.2
2006.06.16,212.91
2006.06.19,212.74
2006.06.20,211.72
2006.06.21,211.97
2006.06.22,212.23
2006.06.23,211.94
2006.06.26,211.97
2006.06.27,211.77
2006.06.28,211.75
2006.06.29,210.52
2006.06.30,211.56
2006.07.03,211.24
2006.07.04,211.92
2006.07.05,212.25
2006.07.06,211.47
2006.07.07,210.92
2006.07.10,210.36
2006.07.11,210.9
2006.07.12,211.87
2006.07.13,212.73
2006.07.14,213.56
2006.07.17,213.15
2006.07.18,214.2
2006.07.19,215.24
2006.07.20,216.32
2006.07.21,215.94
2006.07.24,215.96
2006.07.25,215.63
2006.07.26,215.6
2006.07.27,215
2006.07.28,213.8
2006.07.31,214.12
2006.08.01,214.92
2006.08.02,215.14
2006.08.03,217.04
2006.08.04,218.3
2006.08.07,219.51
2006.08.08,219.91
2006.08.09,219.67
2006.08.10,218.19
2006.08.11,219.82
2006.08.14,220.29
2006.08.15,219.9
2006.08.16,219.54
2006.08.17,218.59
2006.08.18,217.81
2006.08.21,219.4
2006.08.22,219.97
2006.08.23,220.39
2006.08.24,219.83
2006.08.25,221.33
2006.08.28,221.82
2006.08.29,221.44
2006.08.30,223.07
2006.08.31,223.56
2006.09.01,223.2
2006.09.04,221.34
2006.09.05,219.86
2006.09.06,219.8
2006.09.07,218.37
2006.09.08,218
2006.09.11,219.51
2006.09.12,221.07
2006.09.13,220.73
2006.09.14,221.83
2006.09.15,221.04
2006.09.18,221.77
2006.09.19,221.63
2006.09.20,221.81
2006.09.21,221.33
2006.09.22,221.48
2006.09.25,221.5
2006.09.26,221.81
2006.09.27,221.94
2006.09.28,221.11
2006.09.29,221.13
2006.10.02,221.94
2006.10.03,222.61
2006.10.04,222.39
2006.10.05,221.16
2006.10.06,222.6
2006.10.09,222.37
2006.10.10,221.97
2006.10.11,221.97
2006.10.12,221.81
2006.10.13,222.1
2006.10.16,221.57
2006.10.17,222.16
2006.10.18,222.08
2006.10.19,221.85
2006.10.20,223.5
2006.10.23,223.57
2006.10.24,223.5
2006.10.25,223.58
2006.10.26,223.79
2006.10.27,223
2006.10.30,223.32
2006.10.31,223.08
2006.11.01,223.39
2006.11.02,223.55
2006.11.03,224.27
2006.11.06,224.48
2006.11.07,224.28
2006.11.08,224.49
2006.11.09,224.63
2006.11.10,224.67
2006.11.13,224.61
2006.11.14,222.89
2006.11.15,222.89
2006.11.16,223.21
2006.11.17,223.06
2006.11.20,223.97
