day,time,close,open,high,low,volume
2019.01.02,0:00,137.282,139.407,139.461,137.282,148054
2019.01.03,0:00,135.903,137.205,137.319,132.484,276386
2019.01.04,0:00,138.063,135.894,138.297,135.803,234479
2019.01.07,0:00,138.879,138.032,138.928,137.611,164016
2019.01.08,0:00,138.215,138.88,139.437,137.972,158131
2019.01.09,0:00,138.307,138.212,139.103,137.76,198951
2019.01.10,0:00,138.132,138.315,138.527,137.447,152674
2019.01.11,0:00,139.326,138.168,139.484,137.635,146386
2019.01.14,0:00,139.038,139.444,140.054,138.604,159257
2019.01.15,0:00,139.725,139.067,140.431,137.35,220906
2019.01.16,0:00,140.491,139.678,140.702,138.99,188340
2019.01.17,0:00,141.839,140.5,142.213,139.515,190114
2019.01.18,0:00,141.264,141.834,142.083,141.083,160109
2019.01.21,0:00,141.353,141.219,141.528,140.685,139106
2019.01.22,0:00,141.687,141.359,141.933,140.626,149587
2019.01.23,0:00,143.19,141.595,143.56,141.566,162141
2019.01.24,0:00,143.198,143.173,143.55,142.71,170158
2019.01.25,0:00,144.577,143.213,144.84,143.033,178133
2019.01.28,0:00,143.88,144.403,144.718,143.602,150480
2019.01.29,0:00,142.892,143.836,144.481,142.734,186115
2019.01.30,0:00,143,142.896,143.597,142.738,172622
2019.01.31,0:00,142.691,143,143.216,142.244,161144
2019.02.01,0:00,143.236,142.691,143.496,142.076,153897
2019.02.04,0:00,143.189,143.072,144.177,143.045,134196
2019.02.05,0:00,142.368,143.191,143.539,142.031,123199
2019.02.06,0:00,142.155,142.356,142.517,141.755,123056
2019.02.07,0:00,142.205,142.164,142.625,141.126,125735
2019.02.08,0:00,142.016,142.185,142.519,141.847,106413
2019.02.11,0:00,141.811,141.957,142.56,141.798,128067
2019.02.12,0:00,142.397,141.875,142.636,141.819,131057
2019.02.13,0:00,142.579,142.398,143.334,142.343,125348
2019.02.14,0:00,141.359,142.559,143.033,141.293,147914
2019.02.15,0:00,142.317,141.373,142.401,141.009,140239
2019.02.18,0:00,142.856,142.508,143.025,142.481,132618
2019.02.19,0:00,144.473,142.9,144.697,142.479,131368
2019.02.20,0:00,144.639,144.478,145.044,144.123,135332
2019.02.21,0:00,144.284,144.641,144.927,144.078,143346
2019.02.22,0:00,144.447,144.304,144.748,143.783,128674
2019.02.25,0:00,145.437,144.658,145.669,144.357,142041
2019.02.26,0:00,146.529,145.418,147.059,145.376,166837
2019.02.27,0:00,147.682,146.529,148.043,146.165,159400
2019.02.28,0:00,147.699,147.689,148.268,146.982,149463
2019.03.01,0:00,147.813,147.695,148.571,147.518,143854
2019.03.04,0:00,147.222,148.117,148.31,147.105,150270
2019.03.05,0:00,147.431,147.218,147.786,146.598,140808
2019.03.06,0:00,147.171,147.428,147.429,146.691,134322
2019.03.07,0:00,145.947,147.16,147.28,145.786,145973
2019.03.08,0:00,144.688,145.936,146.178,144.316,162475
2019.03.10,0:00,144.269,143.965,144.35,143.871,888
2019.03.11,0:00,146.663,144.258,146.682,143.722,162709
2019.03.12,0:00,145.557,146.649,147.794,144.579,177825
2019.03.13,0:00,148.103,145.553,148.718,145.363,150646
2019.03.14,0:00,148.03,148.104,148.873,147.381,163874
2019.03.15,0:00,148.164,148.036,148.378,147.426,133723
2019.03.17,0:00,148.202,148.201,148.251,148.135,234
2019.03.18,0:00,147.571,148.194,148.388,147.008,129047
2019.03.19,0:00,147.768,147.594,148.056,147.52,102649
2019.03.20,0:00,145.952,147.77,148.084,145.877,143793
2019.03.21,0:00,145.323,145.954,146.394,144.137,181155
2019.03.22,0:00,145.176,145.32,145.751,144.533,198292
2019.03.24,0:00,145.283,145.241,145.422,145.063,1133
2019.03.25,0:00,145.102,145.284,145.797,144.633,194643
2019.03.26,0:00,146.069,145.102,146.457,145.015,168190
