カテゴリ: すべてのカテゴリ

週,織田信長: (日本),伊達政宗: (日本),毛利元就: (日本),長宗我部元親: (日本),真田幸村: (日本)
2019-04-14,45,20,6,2,11
2019-04-21,27,21,5,3,10
2019-04-28,34,34,6,2,21
2019-05-05,42,13,6,3,11
2019-05-12,29,13,8,2,10
2019-05-19,44,16,6,1,11
2019-05-26,30,13,6,1,13
2019-06-02,37,19,7,1,17
2019-06-09,53,12,4,2,23
2019-06-16,28,14,6,3,8
2019-06-23,44,29,10,2,16
2019-06-30,63,14,3,2,10
2019-07-07,51,22,6,1,9
2019-07-14,51,14,9,5,12
2019-07-21,42,14,13,2,11
2019-07-28,34,28,6,1,13
2019-08-04,40,22,7,4,12
2019-08-11,50,25,7,4,16
2019-08-18,50,17,7,2,15
2019-08-25,43,19,9,3,16
2019-09-01,42,21,5,2,14
2019-09-08,34,11,4,1,8
2019-09-15,54,19,6,2,13
2019-09-22,49,17,6,1,15
2019-09-29,37,11,3,2,13
2019-10-06,44,14,11,3,8
2019-10-13,32,13,9,2,8
2019-10-20,31,14,5,1 未満,9
2019-10-27,28,18,5,4,10
2019-11-03,30,14,5,1,13
2019-11-10,38,17,10,1 未満,9
2019-11-17,64,15,4,2,14
2019-11-24,34,14,7,2,13
2019-12-01,31,15,4,2,8
2019-12-08,39,18,7,1 未満,11
2019-12-15,47,14,4,2,14
2019-12-22,56,26,8,3,21
2019-12-29,74,31,14,3,17
2020-01-05,80,16,4,1,10
2020-01-12,70,17,7,3,12
2020-01-19,75,16,4,2,14
2020-01-26,79,11,6,1,20
2020-02-02,64,13,5,1,9
2020-02-09,77,15,6,3,13
2020-02-16,65,11,3,3,10
2020-02-23,43,12,3,3,8
2020-03-01,88,16,9,1,9
2020-03-08,88,15,4,2,11
2020-03-15,100,19,3,2,8
2020-03-22,73,14,8,2,10
2020-03-29,59,13,4,1,11
2020-04-05,73,16,4,2,13
