Series,ëÂç„,ãvóØïƒ,à…ñúó¢,ãûìs
2020/3/11,12.5,9.8,8.4,11.1
2020/3/12,10.7,9.5,8.8,9.8
2020/3/13,11.7,10.9,10.2,10.8
2020/3/14,8.9,9.9,8.8,8.4
2020/3/15,8.6,8.9,10.6,7.1
2020/3/16,6.4,7.8,7,4.8
2020/3/17,8.8,9.3,9.8,7.2
2020/3/18,13.6,12.9,13.7,12.1
2020/3/19,15.6,14.7,14.5,15.3
2020/3/20,12.8,10.9,10,12.1
2020/3/21,13.6,13.6,14.6,12.8
2020/3/22,14.9,16.6,16.3,13.9
2020/3/23,12.3,14.7,12.8,11.6
2020/3/24,10.1,12.9,11.6,8.4
2020/3/25,11,14.4,12.3,9.9
2020/3/26,14.3,15.1,14.8,14.1
2020/3/27,15.8,17.5,17.5,15.2
2020/3/28,12.5,12.7,11.8,12.3
2020/3/29,9.1,12.4,11.8,8.5
2020/3/30,10.3,11.7,11.1,10.2
2020/3/31,14.7,14.7,14.2,14.1
2020/4/1,14.1,11.9,11.4,14
2020/4/2,11.8,12.4,11.3,10.9
2020/4/3,12.2,13.3,12.2,11.2
2020/4/4,14.7,13.7,12.9,13.9
2020/4/5,10.5,12,10.6,9.7
2020/4/6,11.2,12,10,10.5
2020/4/7,12.8,13.6,12,12.1
2020/4/8,14.8,14.2,12.1,14.1
2020/4/9,13.2,13.9,11.8,12.4
2020/4/10,11.4,13.2,11.4,10.2
2020/4/11,11.2,12.6,11.4,10.4
