日付,始値,高値,安値,終値,出来高,終値調整値
"2020-01-06","24000","24050","23860","23910","568225","23910"
"2020-01-07","24030","24300","24010","24300","170307","24300"
"2020-01-08","23900","24020","23650","23930","396435","23930"
"2020-01-09","24270","24500","24260","24440","188019","24440"
"2020-01-10","24500","24620","24480","24580","113641","24580"
"2020-01-14","24700","24790","24690","24730","284075","24730"
"2020-01-15","24660","24720","24610","24630","87793","24630"
"2020-01-16","24700","24710","24640","24670","41870","24670"
"2020-01-17","24830","24850","24740","24790","209201","24790"
"2020-01-20","24820","24840","24790","24810","42876","24810"
"2020-01-21","24800","24800","24560","24570","137274","24570"
"2020-01-22","24550","24770","24550","24760","179841","24760"
"2020-01-23","24570","24630","24490","24510","156663","24510"
"2020-01-24","24590","24590","24480","24550","65779","24550"
"2020-01-27","24060","24180","24010","24110","382449","24110"
"2020-01-28","23870","23950","23830","23940","320095","23940"
"2020-01-29","24000","24100","23920","24100","227687","24100"
"2020-01-30","23980","24020","23590","23650","311328","23650"
"2020-01-31","23860","24130","23850","23910","248984","23910"
"2020-02-03","23480","23730","23440","23680","271905","23680"
"2020-02-04","23580","23820","23550","23770","139834","23770"
"2020-02-05","24050","24120","23950","24050","161595","24050"
"2020-02-06","24380","24730","24370","24620","490808","24620"
"2020-02-07","24690","24700","24480","24550","190122","24550"
"2020-02-10","24330","24510","24330","24400","125517","24400"
"2020-02-12","24580","24610","24450","24600","126292","24600"
"2020-02-13","24600","24640","24520","24550","109462","24550"
"2020-02-14","24400","24460","24320","24390","107805","24390"
"2020-02-17","24230","24280","24050","24250","156377","24250"
"2020-02-18","24110","24130","23840","23900","234627","23900"
"2020-02-19","24040","24180","23950","24120","155136","24120"
"2020-02-20","24380","24530","24140","24210","294014","24210"
"2020-02-21","24130","24310","24080","24100","107743","24100"
"2020-02-25","23100","23450","23080","23330","632502","23330"
"2020-02-26","23030","23140","22810","23120","442540","23120"
"2020-02-27","22950","22970","22530","22640","476633","22640"
"2020-02-28","22070","22070","21590","21790","729652","21790"
"2020-03-02","21490","22270","21470","22040","594518","22040"
"2020-03-03","22370","22420","21770","21790","588127","21790"
"2020-03-04","21560","21910","21530","21780","381730","21780"
"2020-03-05","22090","22100","21890","22000","282643","22000"
"2020-03-06","21640","21720","21260","21360","667152","21360"
"2020-03-09","20530","20590","20070","20260","853251","20260"
"2020-03-10","19950","20600","19470","20470","962009","20470"
"2020-03-11","20310","20590","19990","20030","666818","20030"
"2020-03-12","19580","19750","18910","19140","1315902","19140"
"2020-03-13","17690","18730","17220","18020","1648442","18020"
"2020-03-16","18140","18350","17480","17540","628846","17540"
"2020-03-17","17140","18120","16910","17520","1600891","17520"
"2020-03-18","17700","17940","17260","17940","1108148","17940"
"2020-03-19","17680","17750","16900","17080","991335","17080"
"2020-03-27","19850","19930","19390","19630","968569","19630"
