週,織田信長,豊臣秀吉,徳川家康,武田信玄,上杉謙信
2019-04-14,46,15,35,16,13
2019-04-21,30,13,22,15,10
2019-04-28,40,20,30,22,33
2019-05-05,44,15,25,20,15
2019-05-12,30,18,21,12,13
2019-05-19,43,15,25,15,11
2019-05-26,33,15,28,22,13
2019-06-02,38,22,34,13,10
2019-06-09,60,14,30,22,13
2019-06-16,32,13,31,14,12
2019-06-23,45,22,32,19,15
2019-06-30,66,13,28,13,29
2019-07-07,53,19,33,19,23
2019-07-14,49,17,36,15,14
2019-07-21,39,14,42,12,14
2019-07-28,42,20,62,14,12
2019-08-04,40,18,28,19,16
2019-08-11,53,19,44,18,17
2019-08-18,51,19,33,19,16
2019-08-25,47,17,30,18,18
2019-09-01,42,11,24,17,12
2019-09-08,37,15,20,20,14
2019-09-15,54,21,24,27,12
2019-09-22,54,23,24,29,12
2019-09-29,40,14,20,21,11
2019-10-06,46,15,22,13,17
2019-10-13,34,16,26,23,13
2019-10-20,35,12,21,22,14
2019-10-27,31,11,24,17,14
2019-11-03,36,16,21,19,11
2019-11-10,47,17,26,16,11
2019-11-17,66,23,19,22,11
2019-11-24,39,18,23,18,12
2019-12-01,36,14,21,16,11
2019-12-08,41,17,20,15,11
2019-12-15,44,17,20,17,11
2019-12-22,54,19,29,29,32
2019-12-29,75,19,33,25,26
2020-01-05,91,16,27,21,14
2020-01-12,79,18,30,21,18
2020-01-19,86,20,26,17,14
2020-01-26,92,21,25,16,17
2020-02-02,78,21,21,19,13
2020-02-09,78,20,47,21,15
2020-02-16,68,17,30,18,14
2020-02-23,48,16,25,19,10
2020-03-01,96,15,27,19,14
2020-03-08,91,24,30,15,17
2020-03-15,100,20,47,14,14
2020-03-22,83,21,44,14,14
2020-03-29,59,21,29,14,12
2020-04-05,73,22,24,17,11
